# Branching ratios for CH3OH -> (1)CH3 + OH     (2)H2CO + H2    (3)CH3O + H   where (1) and (2)from PhiDrates; (3) from P Hagege et al.(1968)
# lambda , br_ratio_1, br_ratio_2, br_ratio_3
2.000e+01,    0.250,    0.000,    0.750
4.000e+01,    0.250,    0.000,    0.750
6.000e+01,    0.250,    0.000,    0.750
8.000e+01,    0.139,    0.111,    0.750
9.700e+01,    0.104,    0.146,    0.750
9.760e+01,    0.089,    0.161,    0.750
1.000e+02,    0.083,    0.167,    0.750
1.006e+02,    0.067,    0.183,    0.750
1.100e+02,    0.062,    0.188,    0.750
1.143e+02,    0.013,    0.237,    0.750
1.199e+02,    0.013,    0.237,    0.750
1.208e+02,    0.013,    0.238,    0.750
1.229e+02,    0.013,    0.237,    0.750
1.256e+02,    0.013,    0.238,    0.750
1.269e+02,    0.013,    0.238,    0.750
1.287e+02,    0.012,    0.238,    0.750
1.351e+02,    0.013,    0.238,    0.750
1.364e+02,    0.013,    0.237,    0.750
1.368e+02,    0.013,    0.237,    0.750
1.389e+02,    0.013,    0.237,    0.750
1.393e+02,    0.013,    0.237,    0.750
1.399e+02,    0.013,    0.237,    0.750
1.412e+02,    0.013,    0.237,    0.750
1.418e+02,    0.012,    0.238,    0.750
1.435e+02,    0.013,    0.238,    0.750
1.447e+02,    0.012,    0.238,    0.750
1.456e+02,    0.013,    0.238,    0.750
1.468e+02,    0.013,    0.237,    0.750
1.479e+02,    0.012,    0.238,    0.750
1.488e+02,    0.013,    0.238,    0.750
1.499e+02,    0.013,    0.237,    0.750
1.520e+02,    0.013,    0.238,    0.750
1.522e+02,    0.013,    0.237,    0.750
1.548e+02,    0.013,    0.237,    0.750
1.565e+02,    0.013,    0.237,    0.750
1.570e+02,    0.013,    0.238,    0.750
1.575e+02,    0.013,    0.238,    0.750
1.582e+02,    0.013,    0.238,    0.750
1.587e+02,    0.013,    0.237,    0.750
1.592e+02,    0.013,    0.237,    0.750
1.597e+02,    0.013,    0.237,    0.750
1.605e+02,    0.013,    0.237,    0.750
1.623e+02,    0.013,    0.238,    0.750
1.639e+02,    0.012,    0.238,    0.750
1.667e+02,    0.012,    0.238,    0.750
1.695e+02,    0.012,    0.238,    0.750
1.754e+02,    0.013,    0.238,    0.750
1.818e+02,    0.013,    0.237,    0.750
1.852e+02,    0.013,    0.237,    0.750
1.923e+02,    0.013,    0.237,    0.750
2.000e+02,    0.012,    0.238,    0.750
2.053e+02,    0.013,    0.238,    0.750
2.053e+02,    0.012,    0.238,    0.750
3.150e+02,    0.012,    0.238,    0.750
3.150e+02,    0.000,    0.250,    0.750